<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20030325,1.0637,1.0721,1.063,1.0649,0
EURUSD,20030326,1.0651,1.0702,1.0619,1.0683,0
EURUSD,20030327,1.069,1.0743,1.0671,1.069,0
EURUSD,20030328,1.0684,1.0776,1.0671,1.0756,0
EURUSD,20030330,1.0797,1.0797,1.0797,1.0797,0
EURUSD,20030331,1.0797,1.0926,1.0781,1.0924,0
EURUSD,20030401,1.092,1.0926,1.0861,1.091,0
EURUSD,20030402,1.091,1.0951,1.0749,1.0765,0
EURUSD,20030403,1.077,1.0792,1.0681,1.0756,0
EURUSD,20030404,1.0735,1.0767,1.0683,1.072,0
EURUSD,20030406,1.0665,1.0665,1.0665,1.0665,0
EURUSD,20030407,1.0665,1.0701,1.0558,1.0691,0
EURUSD,20030408,1.0688,1.0725,1.0641,1.0711,0
EURUSD,20030409,1.0714,1.0782,1.0669,1.0771,0
EURUSD,20030410,1.077,1.0831,1.0757,1.0786,0
EURUSD,20030411,1.078,1.0787,1.0694,1.075,0
EURUSD,20030413,1.0745,1.0745,1.0745,1.0745,0
EURUSD,20030414,1.0745,1.0809,1.0713,1.0771,0
EURUSD,20030415,1.077,1.0819,1.0729,1.0795,0
EURUSD,20030416,1.0799,1.092,1.078,1.091,0
EURUSD,20030417,1.0953,1.0964,1.0886,1.0888,0
EURUSD,20030420,1.0893,1.0893,1.0893,1.0893,0
EURUSD,20030421,1.0893,1.0908,1.0818,1.0871,0
EURUSD,20030422,1.0861,1.1001,1.0844,1.0969,0
EURUSD,20030423,1.097,1.0982,1.0919,1.096,0
EURUSD,20030424,1.0955,1.1048,1.0941,1.1031,0
EURUSD,20030425,1.1006,1.1052,1.0962,1.1032,0
EURUSD,20030427,1.1035,1.1035,1.1035,1.1035,0
EURUSD,20030428,1.1035,1.1079,1.0974,1.0983,0
EURUSD,20030429,1.0983,1.1086,1.093,1.1073,0
EURUSD,20030430,1.1073,1.1187,1.1061,1.1182,0
EURUSD,20030501,1.118,1.1288,1.1149,1.1232,0
EURUSD,20030502,1.1239,1.1272,1.119,1.12,0
EURUSD,20030504,1.1226,1.1226,1.1226,1.1226,0
EURUSD,20030505,1.1226,1.1303,1.1203,1.1289,0
EURUSD,20030506,1.1289,1.1453,1.1274,1.1438,0
EURUSD,20030507,1.1436,1.1437,1.1327,1.1355,0
EURUSD,20030508,1.1353,1.1504,1.1308,1.1491,0
EURUSD,20030509,1.1522,1.1535,1.1432,1.1483,0
EURUSD,20030511,1.153,1.153,1.153,1.153,0
EURUSD,20030512,1.153,1.1623,1.152,1.1559,0
EURUSD,20030513,1.1559,1.1567,1.1462,1.1519,0
EURUSD,20030514,1.1532,1.1536,1.1465,1.1483,0
EURUSD,20030515,1.1475,1.1485,1.1375,1.1382,0
EURUSD,20030516,1.1406,1.1557,1.1373,1.1538,0
EURUSD,20030518,1.167,1.167,1.167,1.167,0
EURUSD,20030519,1.167,1.1738,1.1619,1.1653,0
EURUSD,20030520,1.1642,1.1716,1.1598,1.1715,0
EURUSD,20030521,1.171,1.1743,1.1629,1.1634,0
EURUSD,20030522,1.1637,1.1728,1.1617,1.1693,0
EURUSD,20030523,1.1678,1.1809,1.1669,1.1797,0
EURUSD,20030525,1.1832,1.1832,1.1832,1.1832,0
EURUSD,20030526,1.1832,1.1877,1.1797,1.187,0
EURUSD,20030527,1.1861,1.1932,1.1809,1.1813,0
EURUSD,20030528,1.1812,1.1845,1.1704,1.1766,0
EURUSD,20030529,1.1749,1.1845,1.1691,1.1838,0
EURUSD,20030530,1.1864,1.1916,1.1737,1.1762,0
EURUSD,20030601,1.171,1.171,1.171,1.171,0
EURUSD,20030602,1.171,1.1767,1.1649,1.1761,0
EURUSD,20030603,1.1758,1.1781,1.1684,1.1726,0
EURUSD,20030604,1.1732,1.1749,1.1632,1.1642,0
EURUSD,20030605,1.1638,1.1881,1.1627,1.1844,0
EURUSD,20030606,1.1842,1.1869,1.1691,1.1709,0
EURUSD,20030608,1.1711,1.1711,1.1711,1.1711,0
EURUSD,20030609,1.1711,1.1791,1.1656,1.1716,0
EURUSD,20030610,1.1712,1.1745,1.167,1.1673,0
EURUSD,20030611,1.1667,1.1783,1.166,1.1752,0
EURUSD,20030612,1.1752,1.1808,1.1701,1.1764,0
EURUSD,20030613,1.1762,1.1836,1.1738,1.1827,0
EURUSD,20030615,1.1876,1.1876,1.1876,1.1876,0
EURUSD,20030616,1.1876,1.1921,1.182,1.1826,0
EURUSD,20030617,1.1819,1.1861,1.1774,1.1785,0
EURUSD,20030618,1.1783,1.1807,1.1663,1.169,0
EURUSD,20030619,1.167,1.1744,1.1583,1.1728,0
EURUSD,20030620,1.1724,1.1739,1.1552,1.1605,0
EURUSD,20030622,1.1576,1.1576,1.1576,1.1576,0
EURUSD,20030623,1.1576,1.1595,1.1517,1.1565,0
EURUSD,20030624,1.1551,1.1584,1.1474,1.1508,0
EURUSD,20030625,1.1509,1.162,1.1496,1.153,0
EURUSD,20030626,1.153,1.1542,1.1417,1.142,0
EURUSD,20030627,1.1422,1.1458,1.1404,1.1426,0
EURUSD,20030629,1.1429,1.1429,1.1429,1.1429,0
EURUSD,20030630,1.1429,1.1515,1.1399,1.1509,0
EURUSD,20030701,1.1505,1.1612,1.1505,1.1563,0
EURUSD,20030702,1.1562,1.1568,1.1503,1.1539,0
EURUSD,20030703,1.1529,1.1539,1.143,1.1494,0
EURUSD,20030704,1.1498,1.15,1.1451,1.149,0
EURUSD,20030706,1.1476,1.1476,1.1476,1.1476,0
EURUSD,20030707,1.1476,1.1479,1.1312,1.1314,0
EURUSD,20030708,1.1314,1.1353,1.1253,1.1317,0
EURUSD,20030709,1.1314,1.137,1.1305,1.135,0
EURUSD,20030710,1.1353,1.1392,1.1308,1.1374,0
EURUSD,20030711,1.138,1.138,1.1283,1.1284,0
EURUSD,20030713,1.1287,1.1287,1.1287,1.1287,0
EURUSD,20030714,1.1287,1.1308,1.1251,1.128,0
EURUSD,20030715,1.1278,1.1342,1.1156,1.1178,0
EURUSD,20030716,1.1176,1.1232,1.1109,1.1214,0
EURUSD,20030717,1.122,1.125,1.1154,1.1204,0
EURUSD,20030718,1.1209,1.1296,1.1183,1.1267,0
EURUSD,20030720,1.1247,1.1247,1.1247,1.1247,0
EURUSD,20030721,1.1247,1.1357,1.1242,1.1339,0
EURUSD,20030722,1.1342,1.1373,1.1305,1.133,0
EURUSD,20030723,1.1327,1.1488,1.1314,1.1485,0
EURUSD,20030724,1.1484,1.151,1.1422,1.1472,0
EURUSD,20030725,1.1472,1.155,1.1448,1.1508,0
EURUSD,20030727,1.1474,1.1474,1.1474,1.1474,0
EURUSD,20030728,1.1474,1.1554,1.1443,1.1494,0
EURUSD,20030729,1.1485,1.154,1.1428,1.1431,0
EURUSD,20030730,1.1439,1.1455,1.1334,1.1361,0
EURUSD,20030731,1.1344,1.1375,1.1225,1.123,0
EURUSD,20030801,1.1232,1.1279,1.1135,1.1275,0
EURUSD,20030803,1.128,1.128,1.128,1.128,0
EURUSD,20030804,1.128,1.1377,1.1258,1.1361,0
EURUSD,20030805,1.1362,1.1403,1.1307,1.138,0
EURUSD,20030806,1.1389,1.1428,1.1322,1.1331,0
EURUSD,20030807,1.1331,1.1417,1.1317,1.1378,0
EURUSD,20030808,1.1372,1.1387,1.1286,1.1309,0
EURUSD,20030810,1.1305,1.1305,1.1305,1.1305,0
EURUSD,20030811,1.1305,1.1382,1.126,1.1357,0
EURUSD,20030812,1.1357,1.1373,1.1275,1.1279,0
EURUSD,20030813,1.1275,1.1332,1.1216,1.1317,0
EURUSD,20030814,1.1315,1.1339,1.1224,1.1279,0
EURUSD,20030815,1.125,1.129,1.1244,1.1255,0
EURUSD,20030817,1.1258,1.1258,1.1258,1.1258,0
EURUSD,20030818,1.1258,1.1269,1.1123,1.1144,0
EURUSD,20030819,1.1145,1.115,1.1052,1.1137,0
EURUSD,20030820,1.114,1.1152,1.108,1.1122,0
EURUSD,20030821,1.1116,1.112,1.0888,1.0921,0
EURUSD,20030822,1.0934,1.0948,1.0852,1.0871,0
