<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FOIL,19830330,28.99,29.57,28.99,29.4,0
FOIL,19830331,29.39,29.58,29.23,29.28,0
FOIL,19830404,29.22,29.41,29.21,29.24,0
FOIL,19830405,29.51,29.79,29.51,29.71,0
FOIL,19830406,29.89,29.93,29.67,29.92,0
FOIL,19830407,29.89,30.21,29.85,30.15,0
FOIL,19830408,30.45,30.5,30.11,30.29,0
FOIL,19830411,30.33,30.35,29.9,30.15,0
FOIL,19830412,30.51,30.99,30.49,30.83,0
FOIL,19830413,30.6,30.96,30.6,30.81,0
FOIL,19830414,30.71,30.85,30.63,30.7,0
FOIL,19830415,30.5,30.56,30.24,30.41,0
FOIL,19830418,30.57,30.79,30.53,30.74,0
FOIL,19830419,30.7,30.84,30.7,30.75,0
FOIL,19830420,30.53,30.73,30.49,30.63,0
FOIL,19830421,30.75,30.75,30.57,30.67,0
FOIL,19830422,30.62,30.85,30.62,30.75,0
FOIL,19830425,30.72,30.89,30.71,30.82,0
FOIL,19830426,30.71,30.8,30.67,30.7,0
FOIL,19830427,30.66,30.81,30.66,30.76,0
FOIL,19830428,30.73,30.9,30.69,30.74,0
FOIL,19830429,30.71,30.75,30.62,30.62,0
FOIL,19830502,30.67,30.68,30.43,30.51,0
FOIL,19830503,30.55,30.55,30.34,30.43,0
FOIL,19830504,30.4,30.45,30.24,30.28,0
FOIL,19830505,30.3,30.3,30.04,30.08,0
FOIL,19830506,30.07,30.26,30.01,30.16,0
FOIL,19830509,30.05,30.06,29.76,29.84,0
FOIL,19830510,29.81,30.01,29.73,30,0
FOIL,19830511,29.8,29.87,29.69,29.72,0
FOIL,19830512,29.59,29.59,29.4,29.5,0
FOIL,19830513,29.51,29.56,29.34,29.55,0
FOIL,19830516,29.59,30.06,29.59,30.01,0
FOIL,19830517,29.83,30.15,29.83,29.96,0
FOIL,19830518,29.84,29.93,29.69,29.9,0
FOIL,19830519,29.94,29.98,29.93,29.95,0
FOIL,19830520,30.09,30.66,30.09,30.3,0
FOIL,19830523,30.22,30.49,30.15,30.24,0
